product,product_category,number_of_transactions
Barcelona Anniversary Edition Jersey,Limited Edition Jersey,50
Barcelona Anniversary Match Shorts,Shorts,631
Barcelona Away Aero Jersey,Men's Away Jersey,44
Barcelona Away Classic Jersey,Men's Away Jersey,64
Barcelona Away Custom Jersey,Men's Away Jersey,47
Barcelona Away Heritage Jersey,Men's Away Jersey,50
Barcelona Away Modern Jersey,Men's Away Jersey,43
Barcelona Away Sleek Jersey,Men's Away Jersey,55
Barcelona Casual Shorts,Shorts,629
Barcelona Classic Match Shorts,Shorts,633
Barcelona Collectors' Edition Jersey,Limited Edition Jersey,35
Barcelona Crew Socks,Crew Socks,3760
Barcelona Crew Socks Breathable,Crew Socks,1119
Barcelona Crew Socks Large,Crew Socks,513
Barcelona Dynamic Socks,Crew Socks,1042
Barcelona Eco Keeper Gloves,Goalkeeper Gloves,1114
Barcelona Elite Match Shorts,Shorts,615
Barcelona Elite Socks,Crew Socks,1103
Barcelona Fan Flag,Accessories,97
Barcelona Fan Scarf,Accessories,69
Barcelona Fan T-Shirt,Clothing,79
Barcelona Heritage Edition Jersey,Limited Edition Jersey,63
Barcelona Home Classic Jersey,Men's Home Jersey,68
Barcelona Home Collector's Jersey,Men's Home Jersey,65
Barcelona Home Lightweight Jersey,Men's Home Jersey,50
Barcelona Home Limited Edition Jersey,Men's Home Jersey,47
Barcelona Home Performance Jersey,Men's Home Jersey,50
Barcelona Home Premium Jersey,Men's Home Jersey,45
Barcelona Home Retro Jersey,Men's Home Jersey,61
Barcelona Home Signature Jersey,Men's Home Jersey,68
Barcelona Keeper Gloves,Goalkeeper Gloves,1079
Barcelona Limited Edition Match Shorts,Shorts,659
Barcelona Men's Eco Cleats,Men's Cleats,1610
Barcelona Men's Elite Cleats,Men's Cleats,556
Barcelona Men's Pro Cleats,Men's Cleats,1640
Barcelona Men's Speed Cleats,Men's Cleats,1593
Barcelona Performance Match Shorts,Shorts,945
Barcelona Performance Socks,Crew Socks,1084
Barcelona Retro Match Shorts,Shorts,657
Barcelona Signature Match Shorts,Shorts,599
Barcelona Sport Shorts,Shorts,655
Barcelona Team Cap,Accessories,512
Barcelona Team Headband,Accessories,569
Barcelona Team Scarf,Accessories,561
Barcelona Team Wristband,Accessories,605
Barcelona Training Cone Set,Training Equipment,531
Barcelona Training Shorts,Shorts,785
Barcelona Utility Shorts,Shorts,598
Barcelona Women's Advanced Cleats,Women's Cleats,1361
Barcelona Women's Classic Cleats,Women's Cleats,1988
Barcelona Women's Classic Jersey,Women's Jersey,47
Barcelona Women's Limited Jersey,Women's Jersey,42
Barcelona Women's Performance Jersey,Women's Jersey,50
Barcelona Women's Precision Cleats,Women's Cleats,1591
Barcelona Women's Retro Jersey,Women's Jersey,57
Barcelona Women's Speed Cleats,Women's Cleats,1098
