product_id,product_group,product_category,product_type,product,product_description,unit_of_measure,current_wholesale_price,current_retail_price,tax_exempt_yn,promo_yn,new_product_yn
1,Soccer Jerseys,Men's Home Jersey,Classic Jersey,Barcelona Home Classic Jersey,"Experience Barcelona's heritage with this classic home jersey, designed for ultimate comfort on the pitch.",Standard,14.4,$18.00,Y,N,N
2,Soccer Jerseys,Men's Home Jersey,Retro Jersey,Barcelona Home Retro Jersey,"Inspired by classic designs, this retro home jersey brings nostalgia to every match.",Standard,14.4,$18.00,Y,N,N
3,Soccer Jerseys,Men's Home Jersey,Performance Jersey,Barcelona Home Performance Jersey,"Engineered for performance, this home jersey features advanced moisture-wicking fabric for peak play.",Standard,11.8,$14.75,Y,N,N
4,Soccer Jerseys,Men's Home Jersey,Premium Home Jersey,Barcelona Home Premium Jersey,"Experience premium quality with hand-finished details on this home jersey for dedicated fans.",Standard,16.36,$20.45,Y,N,N
5,Soccer Jerseys,Men's Home Jersey,Lightweight Jersey,Barcelona Home Lightweight Jersey,"Stay cool and agile on the field with this lightweight home jersey.",Standard,12,$15.00,Y,N,N
6,Soccer Jerseys,Men's Home Jersey,Signature Home Jersey,Barcelona Home Signature Jersey,"Join the elite with this signature home jersey featuring unique design elements.",Standard,16.8,$21.00,Y,N,N
7,Soccer Jerseys,Men's Home Jersey,Limited Home Jersey,Barcelona Home Limited Edition Jersey,"Limited edition home jersey with exclusive design touches for true Barcelona fans.",Standard,15.8,$19.75,Y,N,N
8,Soccer Jerseys,Men's Home Jersey,Collector's Home Jersey,Barcelona Home Collector's Jersey,"A must-have for collectors, this home jersey is as rare as it is stylish.",Standard,36,$45.00,Y,N,N
9,Soccer Jerseys,Men's Away Jersey,Classic Away Jersey,Barcelona Away Classic Jersey,"Embody the spirit of away matches with this classic away jersey.",Standard,18,$22.50,Y,N,N
10,Soccer Jerseys,Men's Away Jersey,Customizable Away Jersey,Barcelona Away Custom Jersey,"Customize your away experience with this versatile jersey, built for performance.",Standard,8,$10.00,Y,N,N
11,Soccer Jerseys,Men's Away Jersey,Heritage Away Jersey,Barcelona Away Heritage Jersey,"Inspired by tradition, this away jersey pays homage to Barcelona's storied legacy.",Standard,7.16,$8.95,Y,N,N
12,Soccer Jerseys,Men's Away Jersey,Modern Away Jersey,Barcelona Away Modern Jersey,"A modern take on the away jersey, blending style with function.",Standard,7.16,$8.95,Y,N,N
13,Soccer Jerseys,Men's Away Jersey,Sleek Away Jersey,Barcelona Away Sleek Jersey,"Sleek design meets high performance in this away jersey.",Standard,7.16,$8.95,Y,N,N
14,Soccer Jerseys,Men's Away Jersey,Aerodynamic Away Jersey,Barcelona Away Aero Jersey,"Designed for speed, this away jersey features an aerodynamic design.",Standard,7.16,$8.95,Y,N,N
15,Soccer Jerseys,Women's Jersey,Classic Women's Jersey,Barcelona Women's Classic Jersey,"Celebrate style and performance with this classic women's jersey.",Standard,7.4,$9.25,Y,N,N
16,Soccer Jerseys,Women's Jersey,Performance Women's Jersey,Barcelona Women's Performance Jersey,"Engineered for comfort and style, this jersey is perfect for the modern athlete.",Standard,7.16,$8.95,Y,N,N
17,Soccer Jerseys,Women's Jersey,Retro Women's Jersey,Barcelona Women's Retro Jersey,"A nod to timeless style, this retro jersey offers a blend of nostalgia and modern fit.",Standard,7.6,$9.50,Y,N,N
18,Soccer Jerseys,Women's Jersey,Limited Women's Jersey,Barcelona Women's Limited Jersey,"Exclusively designed for a limited run, this jersey is a collector's dream.",Standard,8.76,$10.95,Y,N,N
19,Soccer Jerseys,Limited Edition Jersey,Collectors' Edition Jersey,Barcelona Collectors' Edition Jersey,"A premium collectible jersey that stands out with unmatched craftsmanship.",Standard,5.12,$6.40,Y,N,N
20,Soccer Jerseys,Limited Edition Jersey,Heritage Edition Jersey,Barcelona Heritage Edition Jersey,"Honoring the legacy of Barcelona, this heritage edition jersey is a must-have.",Standard,6.08,$7.60,Y,N,N
21,Soccer Jerseys,Limited Edition Jersey,Anniversary Edition Jersey,Barcelona Anniversary Edition Jersey,"Celebrate milestones with this exclusive anniversary edition jersey, built for fans.",Standard,10.66,$13.33,Y,N,N
22,Soccer Cleats,Men's Cleats,Lightweight Cleats - Small,Barcelona Men's Speed Cleats - Small,"Designed for agility and speed, these lightweight cleats deliver performance on every sprint.",Size 9,0.4,$2.00,Y,N,N
23,Soccer Cleats,Men's Cleats,Lightweight Cleats - Regular,Barcelona Men's Speed Cleats - Regular,"Engineered for comfort and durability, perfect for quick moves on the field.",Size 9,0.5,$2.50,Y,N,N
